line,name,lon,lat,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831
2호선,사당,126.9816401,37.4765394,43928,28153,53587,58810,59801,62248,67862,48558,28372,59475,61360,64969,64498,65348,39956,31732,35909,56198,54168,52722,52857,31164,21560,48369,49534,48590,44214,49318,27897,18150,43889
4호선,삼각지,126.9734515,37.5350315,2113,1435,4173,4475,4589,5045,4959,2492,1472,4645,4685,4890,4645,4530,2068,1556,1914,4200,4034,4044,4000,1700,1040,3783,3931,3858,3598,3866,1517,919,3504
2호선,삼성,127.0627848,37.507996,30401,19960,49229,53182,53398,55679,57975,33036,20773,54054,54084,57301,57760,58854,28693,19788,20742,49384,46489,44486,43247,16237,11290,41642,41592,41501,38488,39841,14811,9924,38887
4호선,상계,127.0735256,37.6610953,11412,7673,17221,18055,18022,19390,20120,13231,7899,19054,19191,19877,19405,19111,10948,8950,11497,18036,17334,17048,16998,9627,6732,16470,16908,16180,15130,16117,8850,5823,15531
2호선,상왕십리,127.03042,37.5641,8110,5312,12570,13281,13471,14020,14390,8936,5466,13471,13463,13814,13750,13800,7534,6019,7896,12899,12437,12469,12196,6599,4332,11706,12074,11707,11000,11616,6082,3874,10815
2호선,서울대입구,126.952712,37.48121,32804,21647,43792,46043,46270,48129,51614,36680,21921,47687,48265,50321,49618,50138,29750,25004,30063,45191,44265,43075,42293,24861,17548,39745,40667,39793,36603,40733,23810,15996,36703
1호선,서울역,126.972938,37.557848,31352,27645,52646,52914,53744,56437,60432,34146,26331,55061,53965,55598,55821,58351,33038,27503,32785,49798,45411,43749,44284,19992,16793,40489,39286,38898,35806,39491,17819,14698,38759
2호선,서초,127.007688,37.49184,9387,9259,19570,20182,20949,22071,21787,10024,8762,21854,21863,22586,22330,21198,8702,9031,7598,20517,19643,19086,18551,6420,3607,18001,18307,17824,16574,17323,5683,3402,16830
2호선,선릉,127.048957,37.504487,20967,10023,51834,54405,54950,57280,57644,24873,10446,58271,58277,59575,59168,56089,17767,10870,21169,55259,53089,51942,49827,16640,8586,49362,48903,48120,45124,47433,15283,7430,45294
2호선,성수,127.0568847,37.5446009,12870,8683,28683,29733,30176,32808,33282,15201,8612,31955,32729,33238,32752,32236,11772,9830,15124,30958,30402,29787,29229,10269,6331,28745,28816,29028,27324,28166,9295,5374,27185
4호선,성신여대입구,127.0141074,37.5918056,14062,9673,17224,18497,18679,19506,20777,16228,9860,18750,19309,20255,19567,19952,13014,10727,12939,17539,17089,16359,15999,10049,7402,15199,15431,14853,13851,15339,9552,6376,14064
3호선,수서,127.1013245,37.4874685,10130,8602,15638,15880,15949,16238,18467,12203,8446,16515,16502,16981,17103,17723,10220,9028,10288,15582,14544,13901,14643,7495,6221,13009,12923,12502,11741,13371,6580,5348,12248
4호선,수유,127.0260399,37.6382077,22013,15745,29744,31621,31722,32864,35229,24805,15195,32760,32917,34476,33410,33479,20773,17672,21868,32037,30931,30169,29905,18256,13411,29182,29720,28893,27109,28748,17124,11626,27493
4호선,숙대입구,126.971987,37.545097,7307,5447,11365,12215,12602,13159,13646,8968,5679,12419,12889,13045,13024,12722,7403,5771,6664,11542,11143,11258,11032,5919,3668,10557,10798,10180,9420,10235,5104,3222,9872
